"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"	"Rank1"
"New.ReferenceOTU1414"	185.912399759971	-1.78848725230369	0.452140985927363	-3.95559639132342	7.63439579175773e-05	0.00176899856774729	NA	NA	NA	NA	NA	NA	NA	"Unassigned"
"New.ReferenceOTU5558"	7.39881010044789	-0.974162276875608	0.354943752699378	-2.74455394542662	0.00605931947109482	0.0375122755042588	NA	NA	NA	NA	NA	NA	NA	"Unassigned"
"New.ReferenceOTU3314"	16.5704140710429	2.00235961020881	0.582432422815279	3.43792606965472	0.0005861877175099	0.00720300361970498	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	NA	NA	NA
"New.ReferenceOTU1432"	63.6968863310242	-1.67777176311998	0.473623629478032	-3.54241566234565	0.000396480181971296	0.00564114785225826	NA	NA	NA	NA	NA	NA	NA	"Unassigned"
"New.ReferenceOTU3660"	3127.21519317791	-0.947644860156799	0.306110774326454	-3.0957579400527	0.00196310546710605	0.0163312182182448	NA	NA	NA	NA	NA	NA	NA	"Unassigned"
"New.ReferenceOTU2257"	31.5038504033133	-0.962699504213119	0.348072468469636	-2.76580192752907	0.00567830128470087	0.0354279391409453	NA	NA	NA	NA	NA	NA	NA	"Unassigned"
"New.ReferenceOTU398"	294.07920231748	2.32165614680015	0.520513776494052	4.46031642512478	8.18387328204268e-06	0.000435135798148165	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	NA	NA	NA
"New.ReferenceOTU3526"	33.8394825722345	1.93848902968033	0.49305725551467	3.93156982885663	8.4392975334062e-05	0.00190118619433123	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	"Oceanospirillaceae"	"Marinomonas"	NA	NA
"New.ReferenceOTU6124"	54.1840547042164	2.83941507915977	0.516372295920385	5.49877501483455	3.82438716446487e-08	6.70800993386263e-06	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	NA	NA	NA
"New.ReferenceOTU1830"	14.2330468353611	-1.0325628775343	0.350158741614685	-2.94884221017259	0.00318966784602861	0.023683311943358	NA	NA	NA	NA	NA	NA	NA	"Unassigned"
"New.ReferenceOTU5027"	54.7758101043156	-0.975265739952083	0.313396798362251	-3.11191992084357	0.00185874911991801	0.0160366546409948	NA	NA	NA	NA	NA	NA	NA	"Unassigned"
"New.ReferenceOTU2967"	7.79685243578693	-1.66216583822885	0.547489317667602	-3.0359785745409	0.00239756400605625	0.0191668802540654	NA	NA	NA	NA	NA	NA	NA	"Unassigned"
"New.ReferenceOTU3763"	78.4264005559805	2.32703673953629	0.518414542633802	4.48875667668154	7.16400686329112e-06	0.000435135798148165	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Phaeobacter"	NA	NA
"New.CleanUp.ReferenceOTU843416"	2.2990039043904	1.93025544199552	0.726670437063331	2.65630104589943	0.00790030526009882	0.0457653397567153	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	NA	NA	NA	NA	NA
"New.CleanUp.ReferenceOTU1332191"	7.31953737764108	2.34220316419794	0.542571609001612	4.31685537049724	1.58267784783753e-05	0.00064177586729812	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	"Oceanospirillaceae"	NA	NA	NA
"New.CleanUp.ReferenceOTU1371945"	1.44000083804187	2.08632512752763	0.665998301092288	3.13262830266368	0.00173248688643183	0.0156116318321802	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Tenacibaculum"	NA	NA
"New.CleanUp.ReferenceOTU1516100"	3.93653208646794	1.65585456437228	0.561943316988221	2.94665763309894	0.00321228645347643	0.023683311943358	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	NA	NA	NA
"New.CleanUp.ReferenceOTU2132015"	13.3738281827886	1.5654701546242	0.59847913533535	2.61574725365658	0.00890324341499968	0.049945310909978	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Shewanellaceae"	"Shewanella"	NA	NA
"New.CleanUp.ReferenceOTU2861451"	3.57000164568108	-1.93050335256384	0.550432903279231	-3.50724555356843	0.000452771130777079	0.00592253850097115	NA	NA	NA	NA	NA	NA	NA	"Unassigned"
"New.CleanUp.ReferenceOTU3040366"	3.58962207124336	-2.06421102299089	0.666151168023705	-3.09871260770264	0.00194363458634365	0.0163312182182448	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Legionellales"	"Francisellaceae"	NA	NA	NA
"New.CleanUp.ReferenceOTU3291581"	4.3443262172399	-1.24187924344178	0.455573228393398	-2.72597063664459	0.00641127016389684	0.0393904553251541	NA	NA	NA	NA	NA	NA	NA	"Unassigned"
"New.CleanUp.ReferenceOTU3458860"	11.4792041630975	1.63255006085182	0.495951552427525	3.29175310140881	0.00099564979884612	0.0107662931581894	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	"Oceanospirillaceae"	"Amphritea"	NA	NA
"New.CleanUp.ReferenceOTU4087019"	7.06717532380113	-1.83250075177458	0.533682890850615	-3.43368840034171	0.00059542825229048	0.00720734794936685	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Pseudoalteromonadaceae"	"Pseudoalteromonas"	NA	NA
"New.CleanUp.ReferenceOTU4265072"	27.5557714390997	-1.09872578271898	0.331237569470134	-3.31703249868836	0.000909790331784128	0.010392112099675	NA	NA	NA	NA	NA	NA	NA	"Unassigned"
"New.CleanUp.ReferenceOTU4332205"	8.2857467130128	1.76584567295713	0.496361851930196	3.55757733212235	0.000374290930456528	0.00550895863646783	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Tenacibaculum"	NA	NA
"New.CleanUp.ReferenceOTU4369606"	5.910581592014	1.47066758884632	0.504254310803727	2.91651961587048	0.00353960465112542	0.0247467187246786	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	NA	NA	NA
"New.CleanUp.ReferenceOTU4396117"	6.63844521554397	-1.43296008510649	0.43451956988224	-3.29780333137777	0.000974443600934426	0.0106793751399705	NA	NA	NA	NA	NA	NA	NA	"Unassigned"
"New.CleanUp.ReferenceOTU4499170"	134.060768393456	-0.98345023096485	0.28858202993263	-3.40787065360389	0.000654719218075934	0.00769532298347221	NA	NA	NA	NA	NA	NA	NA	"Unassigned"
"New.CleanUp.ReferenceOTU4540008"	49.4484294091438	-0.87706277864893	0.294815995915045	-2.97494976799585	0.0029303652828507	0.0220048726332585	NA	NA	NA	NA	NA	NA	NA	"Unassigned"
"New.CleanUp.ReferenceOTU4792861"	70.6658445640482	-0.935301894038825	0.303471369265206	-3.0820103270482	0.00205607704196481	0.0168432169801359	NA	NA	NA	NA	NA	NA	NA	"Unassigned"
"New.CleanUp.ReferenceOTU5206352"	17.2613513065792	-1.35946382433115	0.398805122127797	-3.40884243682183	0.000652391485505009	0.00769532298347221	NA	NA	NA	NA	NA	NA	NA	"Unassigned"
"New.CleanUp.ReferenceOTU5876647"	9.72000917991171	1.90847363379184	0.526985769387722	3.62148988578799	0.000292911258973226	0.00484798022504666	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	"Oceanospirillaceae"	NA	NA	NA
"New.CleanUp.ReferenceOTU5924843"	18.8652923394689	1.95800543014092	0.50339823159365	3.88957550355768	0.000100419722736047	0.00208821525997266	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	NA	NA	NA	NA
"New.CleanUp.ReferenceOTU6079876"	2.10328286343388	-1.39412588609077	0.533983696313329	-2.61080234418381	0.00903300852060137	0.049945310909978	NA	NA	NA	NA	NA	NA	NA	"Unassigned"
"New.CleanUp.ReferenceOTU6216017"	3.05556894753138	1.80490512230601	0.691110757440687	2.61160038803318	0.00901195250997953	0.049945310909978	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Polaribacter"	NA	NA
